,subject,session,block,select,rank,n_features,fold,hoda,train_score,val_score,test_score
111,3,0,2,False,1,6,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.9121174392110352,0.8974781135719601,0.8692218798151002
112,3,0,2,False,1,6,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.9146677893508018,0.891309815758033,0.8716401301147064
113,3,0,2,False,1,6,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.9158539038251452,0.8876469848456267,0.8626840438281117
114,3,0,2,False,1,6,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.9182951502411668,0.8720367226309502,0.8701420989556583
115,3,0,3,False,4,22,0,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.9203692858865273,0.8946285243877341,0.86734934086629
116,3,0,3,False,4,22,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.9173279922048394,0.897177323602514,0.8650166923472009
117,3,0,3,False,4,22,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.9193225245406395,0.8901779538451864,0.8657015065913373
118,3,0,3,False,4,22,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.9198164924139942,0.8905080802364334,0.8559857045026538
119,3,0,3,False,4,22,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.921875184868216,0.8736244733698044,0.8609506077726415
120,3,0,4,False,1,23,0,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.9247097729856351,0.8878211724476388,0.8707734120869713
121,3,0,4,False,1,23,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.9182876237063429,0.8948659901530862,0.8630264509501798
122,3,0,4,False,1,23,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.9216671465023918,0.8868452493240269,0.8629622496147918
123,3,0,4,False,1,23,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.9237504880520904,0.8959473055398353,0.863828967642527
124,3,0,4,False,1,23,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.9219954724541428,0.8734672703263535,0.8608436055469953
125,3,0,5,False,4,39,0,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.92645679443709,0.8926179809077526,0.8793656908063688
126,3,0,5,False,4,39,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.9218092252575011,0.890939889499264,0.8606510015408319
127,3,0,5,False,4,39,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.9287720017826225,0.8804470854555745,0.8643853792158877
128,3,0,5,False,4,39,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.9240531789445455,0.8939665471923536,0.8622025338127033
129,3,0,5,False,4,39,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.9252501390208985,0.8756838332390116,0.8578689436740284
130,3,0,6,False,1,40,0,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.9292953352066653,0.8898317159276203,0.8729883581578498
131,3,0,6,False,1,40,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.9257678282308824,0.8911298621115457,0.8646100838897449
132,3,0,6,False,1,40,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.9324180959855497,0.8763126454128152,0.8671246361924327
133,3,0,6,False,1,40,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.924225722612883,0.8957743821920393,0.8639359698681732
134,3,0,6,False,1,40,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.9275040523112964,0.8793309438470729,0.8568738229755178
135,3,0,7,False,1,41,0,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.9292136434993579,0.8874570582740988,0.8720146379044683
136,3,0,7,False,1,41,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.9263524652687214,0.8890401633764466,0.8630050505050506
137,3,0,7,False,1,41,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.9321075173825422,0.8756838332390116,0.8666217257318953
138,3,0,7,False,1,41,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.9239979649706774,0.895884424322455,0.8640322718712548
139,3,0,7,False,1,41,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.927622367969585,0.879346664151418,0.8576335387776065
140,3,0,8,False,4,57,0,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.9312313302461087,0.8844808206816851,0.8697140900530731
141,3,0,8,False,4,57,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.9273465450805353,0.8902908164073013,0.8619136278034583
142,3,0,8,False,4,57,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.9333399721563818,0.87713010123876,0.8642783769902413
143,3,0,8,False,4,57,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.926315965909315,0.8905080802364334,0.8580294470124978
144,3,0,8,False,4,57,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.9291723030931658,0.8780261585864302,0.8581471494607088
145,3,0,9,False,2,61,0,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=2)",0.9333041342893559,0.8838792407427929,0.8681518575586372
146,3,0,9,False,2,61,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=2)",0.927299301683538,0.8881377934681083,0.8627375449409347
147,3,0,9,False,2,61,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=2)",0.9328607937403129,0.8765641702823366,0.8627482451634993
148,3,0,9,False,2,61,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=2)",0.9267034496902102,0.8885116015846066,0.8557931004964903
149,3,0,9,False,2,61,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=2)",0.9315770688478815,0.8762183235867446,0.8571734292073275
150,4,0,0,False,1,1,0,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.8155135312478009,0.8099011479591837,0.8048509516046972
151,4,0,0,False,1,1,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.8148712392963731,0.812436224489796,0.8034284764980116
152,4,0,0,False,1,1,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.8239142091152816,0.7787927240489497,0.80945063388398
