,index,block,rank,F_tr,F_rt,mse,nmse,dataset,subject,session
235,15,16,"(4, 4)",2.725643236766747e-05,0.0006727911137163606,0.00042894664756936123,0.6455915158482715,BNCI2015-003,4,0
236,16,17,"(8, 8)",2.591015992501227e-05,0.0006763510068407918,0.0004064918300978564,0.6117956120181082,BNCI2015-003,4,0
237,17,18,"(4, 4)",2.5770984709171363e-05,0.0006868132167025609,0.00040196194464909457,0.6049778512778001,BNCI2015-003,4,0
238,18,19,"(1, 1)",2.5696033053339816e-05,0.0006869176365564794,0.0004002721070252956,0.602434540030894,BNCI2015-003,4,0
239,19,20,"(4, 4)",2.5420705975786132e-05,0.0006874158155022931,0.0003967891166115752,0.597192421754366,BNCI2015-003,4,0
240,0,1,"(8, 8)",7.98093990196888e-06,1.9697358353769145e-05,4.320747725384132e-07,0.7568317447789455,BNCI2015-003,5,0
241,1,2,"(8, 8)",5.990305922418486e-06,3.231609142549107e-05,2.3470198809471736e-07,0.4111092024865215,BNCI2015-003,5,0
242,2,3,"(4, 4)",6.0086297738523776e-06,5.516142843521559e-05,2.0092751390080934e-07,0.35194908516934037,BNCI2015-003,5,0
243,3,4,"(8, 8)",6.261132611166636e-06,8.585615858024289e-05,1.0742436699399601e-07,0.1881669013587496,BNCI2015-003,5,0
244,4,5,"(8, 8)",6.25731952104472e-06,0.00010188781288372188,7.456708028998683e-08,0.13061334997040397,BNCI2015-003,5,0
245,5,6,"(8, 8)",6.249009135008681e-06,0.0001251373329098109,5.461754557249394e-08,0.09566930295033413,BNCI2015-003,5,0
246,6,7,"(8, 8)",6.2952756226949765e-06,0.00013868278223746748,3.480498884310563e-08,0.06096518960916075,BNCI2015-003,5,0
247,7,8,"(8, 8)",6.289558876990878e-06,0.00015293204962259376,2.7934411214672453e-08,0.04893053360826225,BNCI2015-003,5,0
248,8,9,"(2, 2)",6.290177994091604e-06,0.00015511693059963545,2.767912811605025e-08,0.048483374076573466,BNCI2015-003,5,0
249,9,10,"(8, 8)",6.282711238389682e-06,0.0001694332548294213,2.1967615057736695e-08,0.03847896125733885,BNCI2015-003,5,0
250,10,11,"(8, 8)",6.283553496347622e-06,0.00019360704818546497,1.9224387656357862e-08,0.03367386336117234,BNCI2015-003,5,0
251,11,12,"(1, 1)",6.283803690442601e-06,0.00019483177809311245,1.921490199449072e-08,0.03365724806567819,BNCI2015-003,5,0
252,12,13,"(8, 8)",6.277391317011913e-06,0.0002078671156674931,1.6592155103995784e-08,0.029063186501784494,BNCI2015-003,5,0
253,13,14,"(8, 8)",6.305411143409907e-06,0.00024101018038916587,1.2985253360476152e-08,0.022745257492051595,BNCI2015-003,5,0
