,block,rank,fold,n_features_orig,n_features,hoda,train_score,val_score,dataset,subject,session
117,5,"(2, 2)",4,213,91,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8748807397959183,0.8165102040816327,BNCI2014-008,1,0
118,5,"(4, 4)",4,225,93,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.8752538265306122,0.8194591836734694,BNCI2014-008,1,0
119,5,"(8, 8)",4,273,112,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.8780612244897958,0.8206938775510205,BNCI2014-008,1,0
120,6,"(1, 1)",0,274,111,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8770784438775511,0.8546020408163265,BNCI2014-008,1,0
121,6,"(2, 2)",0,277,112,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8774330357142857,0.8550612244897958,BNCI2014-008,1,0
122,6,"(4, 4)",0,289,117,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.876783801020408,0.8536734693877552,BNCI2014-008,1,0
123,6,"(8, 8)",0,337,133,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.88009375,0.8570204081632654,BNCI2014-008,1,0
124,6,"(1, 1)",1,274,104,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8823788265306122,0.8438775510204081,BNCI2014-008,1,0
125,6,"(2, 2)",1,277,105,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8820408163265306,0.8450612244897959,BNCI2014-008,1,0
126,6,"(4, 4)",1,289,110,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.88234375,0.8424081632653061,BNCI2014-008,1,0
127,6,"(8, 8)",1,337,132,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.8846511479591838,0.8448979591836735,BNCI2014-008,1,0
128,6,"(1, 1)",2,274,105,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8881052295918369,0.8141224489795917,BNCI2014-008,1,0
129,6,"(2, 2)",2,277,108,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8877480867346939,0.8143061224489796,BNCI2014-008,1,0
130,6,"(4, 4)",2,289,115,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.8888437499999999,0.8132040816326531,BNCI2014-008,1,0
131,6,"(8, 8)",2,337,132,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.8905204081632653,0.8167857142857142,BNCI2014-008,1,0
132,6,"(1, 1)",3,274,109,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8845765306122448,0.828765306122449,BNCI2014-008,1,0
133,6,"(2, 2)",3,277,111,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8850204081632653,0.8293673469387755,BNCI2014-008,1,0
134,6,"(4, 4)",3,289,113,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.8855510204081632,0.831234693877551,BNCI2014-008,1,0
135,6,"(8, 8)",3,337,132,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.8859196428571429,0.8300408163265306,BNCI2014-008,1,0
136,6,"(1, 1)",4,274,113,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8804464285714286,0.8222755102040816,BNCI2014-008,1,0
137,6,"(2, 2)",4,277,116,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8790625,0.8215204081632652,BNCI2014-008,1,0
